"","GSM1052615","GSM1052616","GSM1052617","GSM1052618","GSM1052619","GSM1052620"
"PCNX2",8.88662,8.88839,9.02953,9.46742,9.53406,9.35526
"TARBP1",9.39258,9.26769,9.48319,9.30995,9.42432,9.07287
"IRF2BP2",10.3184,10.2548,10.3588,10.4482,10.48,10.5458
"PP2672",5.74132,6.26139,5.93078,5.65277,5.48547,6.00206
"TOMM20",11.7852,11.7597,11.8523,11.6222,11.8086,11.6437
"RBM34",9.68025,9.48367,9.70986,9.83398,9.90028,9.9882
"ARID4B",9.19365,8.93688,9.25547,9.35139,9.52215,9.28629
"B3GALNT2",10.31,10.1997,10.3352,10.1451,10.1065,10.0732
"GNG4",10.8365,10.8669,10.7007,9.96162,9.74818,9.73346
"LYST",9.18594,9.03389,9.28415,10.7925,11.1605,10.8105
"NID1",11.1372,11.067,11.1652,12.0713,12.2113,12.0717
"ERO1B",9.02479,8.98896,9.15064,8.11425,8.059,8.05433
"LGALS8-AS1",7.34157,7.40443,7.2921,7.3757,7.3759,7.52142
"HEATR1",12.1963,12.0617,12.203,11.4729,11.4617,11.2638
"MT1HL1",8.26295,8.39241,8.2937,7.96239,7.92856,8.04608
"ZP4",5.65635,5.65355,5.50165,5.22374,5.22868,5.37907
"GREM2",6.31798,6.50358,6.3029,6.40471,6.2035,6.38584
"RGS7",8.49771,8.31974,8.41637,7.97596,7.99232,7.65062
"FH",10.313,10.1791,10.2621,10.0709,10.0417,10.0382
"OPN3",8.62771,8.51137,8.56484,8.36063,8.24789,8.15593
"CHML",10.8261,10.6207,10.674,10.1079,10.08,9.79706
"MAP1LC3C",7.29939,7.45292,7.06699,8.72453,8.56316,8.34777
"PLD5",6.37077,6.55229,6.5579,6.27788,6.12813,6.16203
"AKT3",11.2655,11.2108,11.375,11.1403,11.1751,11.1395
"ADSS2",10.0906,9.87733,10.2041,9.47101,9.52881,9.46948
"HNRNPU",11.4434,11.2809,11.4104,10.9773,11.011,10.9336
